postcode,latitude,longitude,name,state_id
01340,42.681539,-72.822986,Colrain,MA
01341,42.590824,-72.70976,Conway,MA
01342,42.54723,-72.607679,Deerfield,MA
01343,42.642666,-72.986231,Drury,MA
01344,42.627072,-72.553654,Erving,MA
01346,42.618011,-72.788896,Heath,MA
01347,42.556558,-72.518104,Lake Pleasant,MA
01349,42.621412,-72.705633,Turners Falls,MA
01350,42.721456,-72.976204,Monroe Bridge,MA
01351,42.548107,-72.48693,Montague,MA
01354,42.522178,-72.624164,Northfield,MA
01355,42.518718,-72.534371,New Salem,MA
01360,42.614152,-72.528209,Northfield,MA
01364,42.578325,-72.556589,Orange,MA
01366,42.459632,-72.182962,Petersham,MA
01367,42.683065,-72.715667,Rowe,MA
01368,42.672182,-72.196376,Royalston,MA
01369,42.522178,-72.624164,Shattuckville,MA
01370,42.588812,-72.758781,Shelburne Falls,MA
01373,42.464522,-72.682346,South Deerfield,MA
01375,42.565346,-72.70094,Sunderland,MA
01376,42.654878,-72.718123,Turners Falls,MA
01378,42.667059,-72.339655,Warwick,MA
01379,42.581007,-72.437179,Wendell,MA
01380,42.553431,-72.392694,Wendell Depot,MA
01420,42.583689,-71.816767,Fitchburg,MA
01430,42.654906,-71.920942,Ashburnham,MA
01431,42.446396,-71.459405,Ashby,MA
01432,42.446396,-71.459405,Ayer,MA
01436,42.601427,-72.083838,Baldwinville,MA
01438,42.551681,-72.029434,East Templeton,MA
01440,42.582529,-72.025884,Gardner,MA
01441,42.364807,-71.896868,Westminster,MA
01450,42.446396,-71.459405,Groton,MA
01451,42.500187,-71.575864,Harvard,MA
01452,42.483895,-72.011516,Hubbardston,MA
01453,42.471316,-71.837509,Leominster,MA
01460,42.446396,-71.459405,Littleton,MA
01462,42.583322,-71.752266,Lunenburg,MA
01463,42.446396,-71.459405,Pepperell,MA
01464,42.446396,-71.459405,Shirley,MA
01467,42.487056,-71.613078,Still River,MA
01468,42.555059,-72.072285,Templeton,MA
01469,42.446396,-71.459405,Townsend,MA
01470,42.446396,-71.459405,Groton,MA
01471,42.446396,-71.459405,Groton,MA
01472,42.446396,-71.459405,West Groton,MA
01473,42.549489,-71.913219,Westminster,MA
01474,42.446396,-71.459405,West Townsend,MA
01475,42.661612,-72.047876,Winchendon,MA
01477,42.364807,-71.896868,Winchendon Springs,MA
01501,42.184835,-71.947184,Auburn,MA
01503,42.3129,-71.841656,Berlin,MA
01504,42.114078,-71.799785,Blackstone,MA
01505,42.300037,-71.943458,Boylston,MA
01506,42.19169,-72.105011,Brookfield,MA
01507,42.13277,-71.972627,Charlton,MA
01508,42.109748,-72.079455,Charlton City,MA
01509,42.364807,-71.896868,Charlton Depot,MA
01510,42.413972,-71.687523,Clinton,MA
01515,42.205311,-72.049907,East Brookfield,MA
01516,42.113076,-71.891139,Douglas,MA
01517,42.364807,-71.896868,East Princeton,MA
01518,42.106405,-72.114045,Fiskdale,MA
01519,42.203944,-71.682862,Grafton,MA
01520,42.336791,-71.845316,Holden,MA
01521,42.061063,-72.163991,Holland,MA
01522,42.264629,-71.795442,Jefferson,MA
01523,42.427188,-71.91177,Lancaster,MA
01524,42.238192,-72.012379,Leicester,MA
01525,42.364807,-71.896868,Linwood,MA
01526,42.364807,-71.896868,Manchaug,MA
01527,42.255642,-71.819961,Millbury,MA
01529,42.124662,-71.846943,Millville,MA
01531,42.320938,-72.128644,New Braintree,MA
01532,42.322118,-71.64282,Northborough,MA
01534,42.207191,-71.856807,Northbridge,MA
01535,42.275382,-72.089338,North Brookfield,MA
01536,42.407556,-71.860402,North Grafton,MA
01537,42.166241,-71.891052,North Oxford,MA
01538,42.364807,-71.896868,North Uxbridge,MA
01540,42.109223,-71.855444,Oxford,MA
01541,42.451926,-71.880057,Princeton,MA
01542,42.220085,-71.914361,Rochdale,MA
01543,42.383516,-71.95463,Rutland,MA
01545,42.286992,-71.715313,Shrewsbury,MA
01546,42.364807,-71.896868,Shrewsbury,MA
01550,42.129251,-72.031155,Southbridge,MA
01560,42.176544,-71.681912,South Grafton,MA
01561,42.443539,-71.686137,South Lancaster,MA
01562,42.254837,-72.065612,Spencer,MA
01564,42.366765,-71.939375,Sterling,MA
01566,42.10273,-72.080996,Sturbridge,MA
01568,42.175591,-71.603197,Upton,MA
01569,42.059736,-71.638438,Uxbridge,MA
01570,42.1351,-71.994169,Webster,MA
01571,42.059189,-71.937037,Dudley,MA
01580,42.364807,-71.896868,Westborough,MA
01581,42.255222,-71.845865,Westborough,MA
01582,42.364807,-71.896868,Westborough,MA
01583,42.362783,-71.781215,West Boylston,MA
01585,42.235638,-72.172523,West Brookfield,MA
01586,42.364807,-71.896868,West Millbury,MA
01588,42.166554,-71.899484,Whitinsville,MA
01590,42.126575,-71.755193,Sutton,MA
01601,42.265275,-71.879415,Worcester,MA
01602,42.274595,-71.846966,Worcester,MA
01603,42.245442,-71.839257,Worcester,MA
01604,42.247955,-71.76678,Worcester,MA
01605,42.288792,-71.796128,Worcester,MA
01606,42.311834,-71.794465,Worcester,MA
01607,42.226452,-71.792506,Worcester,MA
01608,42.293501,-71.925696,Worcester,MA
01609,42.282565,-71.827685,Worcester,MA
01610,42.246483,-71.808915,Worcester,MA
01611,42.239392,-71.878716,Cherry Valley,MA
01612,42.304675,-71.892875,Paxton,MA
01613,42.293316,-71.801971,Worcester,MA
01614,42.364807,-71.896868,Worcester,MA
01615,42.364807,-71.896868,Worcester,MA
01653,42.364807,-71.896868,Worcester,MA
01654,42.364807,-71.896868,Worcester,MA
01655,42.364807,-71.896868,Worcester,MA
01701,42.446396,-71.459405,Framingham,MA
01702,42.446396,-71.459405,Framingham,MA
01703,42.446396,-71.459405,Framingham,MA
01704,42.446396,-71.459405,Framingham,MA
01705,42.446396,-71.459405,Framingham,MA
01718,42.446396,-71.459405,Village Of Nagog Woods,MA
01719,42.446396,-71.459405,Boxborough,MA
01720,42.446396,-71.459405,Acton,MA
01721,42.446396,-71.459405,Ashland,MA
01730,42.446396,-71.459405,Bedford,MA
01731,42.446396,-71.459405,Hanscom Afb,MA
01740,42.436043,-71.605916,Bolton,MA
01741,42.446396,-71.459405,Carlisle,MA
01742,42.446396,-71.459405,Concord,MA
01745,42.293442,-71.502762,Fayville,MA
01746,42.446396,-71.459405,Holliston,MA
01747,42.127515,-71.533138,Hopedale,MA
01748,42.446396,-71.459405,Hopkinton,MA
01749,42.446396,-71.459405,Hudson,MA
01752,42.446396,-71.459405,Marlborough,MA
01754,42.446396,-71.459405,Maynard,MA
01756,42.100352,-71.546961,Mendon,MA
01757,42.147087,-71.528085,Milford,MA
01760,42.446396,-71.459405,Natick,MA
01770,42.446396,-71.459405,Sherborn,MA
01772,42.296842,-71.533229,Southborough,MA
01773,42.446396,-71.459405,Lincoln,MA
01775,42.446396,-71.459405,Stow,MA
01776,42.446396,-71.459405,Sudbury,MA
01778,42.446396,-71.459405,Wayland,MA
01784,42.446396,-71.459405,Woodville,MA
01801,42.488595,-71.157271,Woburn,MA
01803,42.504844,-71.201539,Burlington,MA
01805,42.446396,-71.459405,Burlington,MA
01806,42.446396,-71.459405,Woburn,MA
01807,42.446396,-71.459405,Woburn,MA
01808,42.446396,-71.459405,Woburn,MA
01810,42.647991,-71.165685,Andover,MA
01812,42.647191,-71.184202,Andover,MA
01813,42.446396,-71.459405,Woburn,MA
01815,42.446396,-71.459405,Woburn,MA
01821,42.446396,-71.459405,Billerica,MA
01822,42.446396,-71.459405,Billerica,MA
01824,42.446396,-71.459405,Chelmsford,MA
01826,42.446396,-71.459405,Dracut,MA
01827,42.446396,-71.459405,Dunstable,MA
01830,42.792639,-71.072501,Haverhill,MA
01831,42.771095,-71.122054,Haverhill,MA
01832,42.789627,-71.126562,Haverhill,MA
01833,42.72377,-70.981298,Georgetown,MA
01834,42.751074,-71.021437,Groveland,MA
01835,42.752844,-71.084301,Haverhill,MA
01840,42.70734,-71.161052,Lawrence,MA
01841,42.70979,-71.164402,Lawrence,MA
01842,42.635443,-70.879123,Lawrence,MA
01843,42.71037,-71.088303,Lawrence,MA
01844,42.73184,-71.186915,Methuen,MA
01845,42.672835,-71.087689,North Andover,MA
01850,42.446396,-71.459405,Lowell,MA
01851,42.446396,-71.459405,Lowell,MA
01852,42.446396,-71.459405,Lowell,MA
