postcode,latitude,longitude,name,state_id
93703,36.768449,-119.761076,Fresno,CA
93704,36.92709,-119.670552,Fresno,CA
93705,36.795503,-119.847234,Fresno,CA
93706,36.648635,-119.998749,Fresno,CA
93707,36.746375,-119.639658,Fresno,CA
93708,36.746375,-119.639658,Fresno,CA
93709,36.746375,-119.639658,Fresno,CA
93710,36.896749,-119.750294,Fresno,CA
93711,36.830336,-119.828240,Fresno,CA
93712,36.746375,-119.639658,Fresno,CA
93714,36.746375,-119.639658,Fresno,CA
93715,36.746375,-119.639658,Fresno,CA
93716,36.746375,-119.639658,Fresno,CA
93717,36.746375,-119.639658,Fresno,CA
93718,36.746375,-119.639658,Fresno,CA
93720,36.850729,-119.802227,Fresno,CA
93721,36.729049,-119.771526,Fresno,CA
93722,36.793291,-119.931132,Fresno,CA
93724,36.746375,-119.639658,Fresno,CA
93725,36.620698,-119.730824,Fresno,CA
93726,36.726349,-119.759875,Fresno,CA
93727,36.763149,-119.673272,Fresno,CA
93728,36.756348,-119.817429,Fresno,CA
93729,36.746375,-119.639658,Fresno,CA
93740,36.746375,-119.639658,Fresno,CA
93741,36.746375,-119.639658,Fresno,CA
93744,36.746375,-119.639658,Fresno,CA
93745,36.746375,-119.639658,Fresno,CA
93747,36.746375,-119.639658,Fresno,CA
93750,36.746375,-119.639658,Fresno,CA
93755,36.746375,-119.639658,Fresno,CA
93760,36.746375,-119.639658,Fresno,CA
93761,36.746375,-119.639658,Fresno,CA
93762,36.746375,-119.639658,Fresno,CA
93764,36.746375,-119.639658,Fresno,CA
93765,36.746375,-119.639658,Fresno,CA
93771,36.746375,-119.639658,Fresno,CA
93772,36.746375,-119.639658,Fresno,CA
93773,36.746375,-119.639658,Fresno,CA
93774,36.746375,-119.639658,Fresno,CA
93775,36.746375,-119.639658,Fresno,CA
93776,36.746375,-119.639658,Fresno,CA
93777,36.746375,-119.639658,Fresno,CA
93778,36.746375,-119.639658,Fresno,CA
93779,36.746375,-119.639658,Fresno,CA
93780,36.746375,-119.639658,Fresno,CA
93784,36.746375,-119.639658,Fresno,CA
93786,36.746375,-119.639658,Fresno,CA
93790,36.746375,-119.639658,Fresno,CA
93791,36.746375,-119.639658,Fresno,CA
93792,36.746375,-119.639658,Fresno,CA
93793,36.746375,-119.639658,Fresno,CA
93794,36.746375,-119.639658,Fresno,CA
93844,36.746375,-119.639658,Fresno,CA
93888,36.746375,-119.639658,Fresno,CA
93901,36.441768,-121.416603,Salinas,CA
93902,36.35433,-121.132928,Salinas,CA
93905,36.682888,-121.612105,Salinas,CA
93906,36.620989,-121.487916,Salinas,CA
93907,36.756306,-121.670310,Salinas,CA
93908,36.641676,-121.637410,Salinas,CA
93912,36.35433,-121.132928,Salinas,CA
93915,36.35433,-121.132928,Salinas,CA
93920,36.054105,-121.607774,Big Sur,CA
93921,36.549729,-121.922515,Carmel,CA
93922,36.543261,-121.926315,Carmel,CA
93923,36.615248,-121.795010,Carmel,CA
93924,36.446043,-121.666999,Carmel Valley,CA
93925,36.583988,-121.451600,Chualar,CA
93926,36.502102,-121.408607,Gonzales,CA
93927,36.323971,-121.324308,Greenfield,CA
93928,36.023549,-121.213850,Jolon,CA
93930,36.201898,-121.052320,King City,CA
93932,35.949963,-121.062554,Lockwood,CA
93933,36.643259,-121.812711,Marina,CA
93940,36.521811,-121.688623,Monterey,CA
93942,36.35433,-121.132928,Monterey,CA
93943,36.35433,-121.132928,Monterey,CA
93944,36.606225,-121.908915,Monterey,CA
93950,36.408303,-121.544387,Pacific Grove,CA
93953,36.5831,-121.936365,Pebble Beach,CA
